sample_id,time,anomaly,anomaly_type,data_modality,flow,volume,pressure
17,7.149146564,0,normal,,3.592331325,-9.185497876,9.160452226
17,7.172043011,0,normal,,3.751493429,0.644213917,9.065417752
17,7.176138272,0,normal,,3.809054604,2.402357468,9.048419873
17,7.209989293,0,normal,,4.284849503,20.90111019,8.907917113
17,7.271965737,0,normal,,5.155962853,54.76971722,9.405334761
17,7.280758543,0,normal,,5.279550629,59.57477021,9.806127542
17,7.301075269,0,normal,,12.89844683,69.32072869,10.73220245
17,7.315802734,0,normal,,17.29050408,76.38551162,11.40350822
17,7.318070164,0,normal,,17.96670236,77.473201,12.90341374
17,7.322580645,0,normal,,19.31182796,79.63688418,13.36945565
17,7.342256094,0,normal,,25.17948395,89.07522106,15.402406
17,7.344086022,0,normal,,32.14187575,89.95303967,16.61290323
17,7.34641305,0,normal,,32.43908904,91.06931825,18.15223279
17,7.365591398,0,normal,,37.6385902,100.2691952,19.22662657
17,7.385012368,0,normal,,38.18750233,109.5854582,20.31461234
17,7.391005858,0,normal,,38.35690167,112.8607535,20.65037476
17,7.413680166,0,normal,,38.99776581,125.2517073,22.14942999
17,7.414813882,0,normal,,39.02980902,125.871255,22.89938275
17,7.416325502,0,normal,,39.07253329,126.6973186,23.89931977
17,7.417837123,0,normal,,39.11525757,127.5233822,24.89925679
17,7.430107527,0,normal,,39.46206691,134.2288571,25.18865207
17,7.460162499,0,normal,,39.45747517,150.6531626,25.89749323
17,7.47311828,0,normal,,39.45549582,157.7331789,26.48804227
17,7.482080998,0,normal,,39.32678123,162.6310846,26.89657996
17,7.489632638,0,normal,,39.21833128,166.757871,26.95718878
17,7.537634409,0,normal,,38.52897252,185.6300424,27.34244689
17,7.544057442,0,normal,,38.43673063,188.1552947,27.39399761
17,7.602150538,0,normal,,37.60244922,210.9949287,27.74415508
17,7.626440763,0,normal,,38.11642365,220.5447704,27.89056497
17,7.63492839,0,normal,,38.29601948,223.8817296,27.96712801
17,7.688172043,0,normal,,39.42264038,252.9780803,28.44741494
17,7.70920199,0,normal,,39.64352785,264.4704309,28.63711658
17,7.739548661,0,normal,,39.96227326,281.0541424,28.78346675
17,7.774193548,0,normal,,40.32616487,304.5652174,28.95054554
17,7.802760558,0,normal,,39.91591087,323.9516597,29.0883131
17,7.81199219,0,normal,,39.78333438,328.6888432,29.13283366
17,7.838709677,0,normal,,39.39964158,342.3988398,29.18610422
17,7.886310196,0,normal,,38.37788322,366.8249,29.28101233
17,7.924731183,0,normal,,37.55316607,380.0699401,29.35761787
17,7.934811362,0,normal,,37.55162604,383.5449258,29.37771619
17,7.98983113,0,normal,,37.54322024,402.5121385,29.3754237
17,8.010752688,0,normal,,37.54002389,413.2479721,29.37455197
17,8.036845752,0,normal,,37.35066798,426.6375475,29.37346476
17,8.073380768,0,normal,,37.0855354,445.3853788,29.29711449
17,8.139784946,0,normal,,36.60364397,421.4920588,29.15834415
17,8.158909114,0,normal,,36.25136466,414.6108675,29.11837879
17,8.173237243,0,normal,,35.98743142,409.45537,29.15275837
17,8.261321408,0,normal,,34.36486517,377.7612327,29.36411161
17,8.290322581,0,normal,,33.83064516,367.326132,29.18359964
17,8.293065014,0,normal,,33.59643377,366.3393593,29.16652992
17,8.312716508,0,normal,,31.91814155,361.4096761,29.04421314
17,8.31649556,0,normal,,31.59540005,360.4616807,29.02069119
17,8.319518801,0,normal,,31.33720686,359.7032844,29.00187363
17,8.319896706,0,normal,,31.30493271,359.6084849,28.99952144
17,8.321030421,0,normal,,31.20811026,359.3240862,28.99246485
17,8.324809473,0,normal,,30.88536877,358.3760908,28.96894291
17,8.327832714,0,normal,,30.62717558,357.6176945,28.95012535
17,8.33047805,0,normal,,30.40125653,356.9540977,28.93365999
17,8.333333333,0,normal,,-8.342592593,356.2378345,28.91588785
17,8.338414058,0,normal,,-10.07589595,354.9633074,28.8842639
17,8.34219311,0,normal,,-11.36512985,354.015312,12.845214
17,8.35483871,0,normal,,-15.67921147,350.8430951,12.79272691
17,8.376344086,0,normal,,-28.51583035,345.4483557,12.70346624
17,8.397849462,0,normal,,-23.01911589,340.0536163,12.61420557
17,8.399256787,0,normal,,-22.83936932,339.7005814,12.6083643
17,8.438558922,0,normal,,-17.81961328,329.8414293,11.60672671
17,8.440860215,0,normal,,-17.52568698,329.2641374,11.59445161
17,8.493877302,0,normal,,-16.24244206,315.9645158,11.31165847
17,8.580273351,0,normal,,-14.15128053,295.3312222,10.85082194
17,8.591397849,0,normal,,-13.88201912,292.6744452,10.79543813
17,8.674718295,0,normal,,-11.86530064,272.7756741,10.38062356
17,8.68155193,0,normal,,-11.69989683,271.7281159,10.346602
17,8.741935484,0,normal,,-10.23835125,262.4716539,10.01258198
17,8.863702211,0,normal,,-7.661801138,243.8054938,9.339012408
17,8.870967742,0,normal,,-7.508064516,242.6917284,9.348579188
17,8.957247992,0,normal,,-5.682398388,229.4654472,9.462187423
17,9,0,normal,,-4.777777778,224.3655589,9.518480493
17,9.047742017,0,normal,,-4.785071697,218.6704123,9.581344083
17,9.169805379,0,normal,,-4.803720266,204.1094701,9.326258109
17,9.199835099,0,normal,,-4.80830814,200.5272239,9.325006871
17,9.215053763,0,normal,,-4.810633214,198.4856021,9.32437276
17,9.292246646,0,normal,,-4.456832502,188.1299844,9.32115639
17,9.361437689,0,normal,,-4.139706889,178.8478334,9.31827343
17,9.394281035,0,normal,,-3.989174884,174.5750169,9.316904957
17,9.408602151,0,normal,,-3.92353644,172.7118847,9.316308244
17,9.455501669,0,normal,,-3.530883248,166.6104043,9.314354097
17,9.516129032,0,normal,,-3.023297491,158.7229742,9.12528132
17,9.536751275,0,normal,,-2.900873381,156.040085,9.060968697
17,9.577942936,0,normal,,-2.656338759,150.681179,9.309252378
17,9.583687055,0,normal,,-2.622238751,149.9338871,9.309013039
17,9.63916357,0,normal,,-2.292901982,146.3038677,9.306701518
17,9.666666667,0,normal,,-2.12962963,144.5042454,9.305555556
17,9.782011715,0,normal,,-2.14725179,136.9568218,9.300749512
17,9.806669313,0,normal,,-2.151018923,135.3433902,9.299722112
17,9.817204301,0,normal,,-2.152628435,134.5030529,9.299283154
17,9.92485986,0,normal,,-1.404272778,125.9157639,9.294797506
17,9.946236559,0,normal,,-1.25567503,124.210623,9.206070928
17,9.985702589,0,normal,,-1.261704562,121.0625626,9.042262392
17,9.988976089,0,normal,,-1.26220468,120.8014475,9.055411623
17,10.04730113,0,normal,,-1.27111545,118.6741365,9.289695786
17,10.05376344,0,normal,,-1.272102748,118.4384341,9.289426523
17,10.11827957,0,normal,,-0.365292712,116.0853131,9.286738351
17,10.16974239,0,normal,,0.175245638,114.2082901,9.284594067
17,10.19198705,0,normal,,0.408891781,113.3969524,9.283667206
17,10.20430108,0,normal,,0.53823178,111.5092813,9.283154122
17,10.27177678,0,normal,,-0.047307426,101.1656315,9.280342634
17,10.31182796,0,normal,,-0.394862605,95.02601007,9.229517027
17,10.3332519,0,normal,,-0.398135707,91.74183895,9.202329684
17,10.44086022,0,normal,,-0.414575866,84.00688328,9.065772937
17,10.47546766,0,normal,,-0.235470334,81.51927778,9.021855514
17,10.53589642,0,normal,,0.077269483,77.17561914,9.111661305
17,10.61290323,0,normal,,0.475806452,74.36692093,9.226104448
17,10.63910059,0,normal,,0.471804077,73.41141478,9.265037476
17,10.73890738,0,normal,,0.456555817,69.77112407,9.260878859
17,10.76154185,0,normal,,0.453097772,67.74234307,9.259935756
17,10.80645161,0,normal,,0.446236559,63.71697562,9.258064516
17,10.8198919,0,normal,,0.446236559,62.5122912,9.257504504
17,10.84316936,0,normal,,0.446236559,62.48450504,9.25653461
17,10.88090512,0,normal,,0.446236559,62.4394601,9.254962287
17,10.92479688,0,normal,,0.446236559,59.28449219,9.253133464
17,10.98222738,0,normal,,0.446236559,55.1563502,9.250740526
17,11.02683127,0,normal,,0.446236559,55.1563502,9.248882031
