time,sample_id,window_id,wave_count,flow,mask_flow,volume,mask_volume,pressure,mask_pressure,anomaly_id
9.32,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.34,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.36,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.38,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.4,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.42,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.44,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.46,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.48,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.5,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.52,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.54,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.56,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.58,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.6,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.62,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.64,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.66,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.68,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.7,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.72,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.74,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.76,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.78,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.8,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.82,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.84,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.86,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.88,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.9,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.92,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.94,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.96,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
9.98,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.02,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.04,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.06,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.08,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.1,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.12,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.14,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.16,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.18,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.2,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.22,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.24,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.26,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.28,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.3,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.32,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.34,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.36,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.38,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.4,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.42,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.44,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.46,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.48,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.5,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.52,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.54,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.56,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.58,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.6,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.62,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.64,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.66,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.68,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.7,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.72,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.74,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.76,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.78,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.8,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.82,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.84,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.86,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.88,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.9,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.92,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.94,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.96,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
10.98,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.02,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.04,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.06,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.08,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.1,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.12,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.14,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.16,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.18,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.2,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.22,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.24,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.26,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.28,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.3,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.32,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.34,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.36,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.38,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.4,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.42,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.44,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.46,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.48,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.5,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.52,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.54,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.56,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.58,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.6,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.62,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.64,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.66,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.68,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.7,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.72,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.74,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.76,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.78,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.8,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.82,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.84,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.86,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.88,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.9,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.92,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.94,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.96,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
11.98,14,0,22,-226.8221305,0,0,0,30.98265896,0,5
0,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.02,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.04,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.06,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.08,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.1,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.12,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.14,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.16,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.18,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.2,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.22,15,0,23,-31.00666667,1,0,0,8.124583334,1,5
0.24,15,0,23,-30.0845977,1,0,0,8.045000001,1,5
0.26,15,0,23,-29.16252874,1,0,0,7.965416667,1,5
0.28,15,0,23,-28.24045977,1,0,0,7.885833333,1,5
0.3,15,0,23,-27.3183908,1,0,0,7.80625,1,5
0.32,15,0,23,-26.39632183,1,0,0,7.726666666,1,5
0.34,15,0,23,-25.47425286,1,0,0,7.647083332,1,5
0.36,15,0,23,-24.55218389,1,0,0,7.567499999,1,5
0.38,15,0,23,-23.63011492,1,0,0,7.487916665,1,5
0.4,15,0,23,-22.70804596,1,0,0,7.408333331,1,5
0.42,15,0,23,-21.8116256,1,0,0,7.330714284,1,5
0.44,15,0,23,-21.33490968,1,0,0,7.285238094,1,5
0.46,15,0,23,-20.85819375,1,0,0,7.239761903,1,5
0.48,15,0,23,-20.38147782,1,0,0,7.194285713,1,5
0.5,15,0,23,-19.9047619,1,0,0,7.148809523,1,5
0.52,15,0,23,-19.42804597,1,0,0,7.103333332,1,5
0.54,15,0,23,-18.95133004,1,0,0,7.057857142,1,5
0.56,15,0,23,-18.47461411,1,0,0,7.012380951,1,5
0.58,15,0,23,-17.99789819,1,0,0,6.966904761,1,5
0.6,15,0,23,-17.52118226,1,0,0,6.92142857,1,5
0.62,15,0,23,-17.04446633,1,0,0,6.87595238,1,5
0.64,15,0,23,-16.56775041,1,0,0,6.83047619,1,5
