sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
7,1.131707317,1,double_trigger,flow_pressure,,0.957142857,17.95321637
7,1.144715447,1,double_trigger,flow_pressure,,1.185714286,21.22807018
7,1.170731707,1,double_trigger,flow_pressure,,1.185714286,24.26900585
7,1.170731707,1,double_trigger,flow_pressure,,1.185714286,27.77777778
7,1.196747967,1,double_trigger,flow_pressure,,1.185714286,29.64912281
7,1.248780488,1,double_trigger,flow_pressure,,1.214285714,32.69005848
7,1.300813008,1,double_trigger,flow_pressure,,1.214285714,35.02923977
7,1.339837398,1,double_trigger,flow_pressure,,1.214285714,37.36842105
7,1.391869919,1,double_trigger,flow_pressure,,1.114285714,38.77192982
7,1.443902439,1,double_trigger,flow_pressure,,0.5,40.87719298
7,1.456910569,1,double_trigger,flow_pressure,,0.385714286,38.5380117
7,1.469918699,1,double_trigger,flow_pressure,,0.257142857,34.56140351
7,1.482926829,1,double_trigger,flow_pressure,,0.128571429,37.13450292
7,1.495934959,1,double_trigger,flow_pressure,,0.128571429,32.22222222
7,1.57398374,1,double_trigger,flow_pressure,,0.014285714,30.11695906
7,1.61300813,1,double_trigger,flow_pressure,,-0.042857143,28.71345029
7,1.704065041,1,double_trigger,flow_pressure,,-0.6,27.54385965
7,1.717073171,1,double_trigger,flow_pressure,,-0.6,24.50292398
7,1.730081301,1,double_trigger,flow_pressure,,-0.6,23.0994152
7,1.847154472,1,double_trigger,flow_pressure,,-0.357142857,20.52631579
7,2.029268293,1,double_trigger,flow_pressure,,-0.3,19.35672515
7,2.172357724,1,double_trigger,flow_pressure,,-0.214285714,18.65497076
7,2.341463415,1,double_trigger,flow_pressure,,-0.157142857,18.1871345
7,2.484552846,1,double_trigger,flow_pressure,,-0.142857143,17.95321637
7,2.653658537,1,double_trigger,flow_pressure,,-0.1,17.25146199
7,2.822764228,1,double_trigger,flow_pressure,,-0.057142857,16.78362573
7,3.030894309,1,double_trigger,flow_pressure,,-0.057142857,16.78362573
7,3.18699187,1,double_trigger,flow_pressure,,-0.042857143,16.31578947
7,3.317073171,1,double_trigger,flow_pressure,,-0.014285714,16.31578947
7,3.408130081,1,double_trigger,flow_pressure,,0.214285714,16.31578947
7,3.447154472,1,double_trigger,flow_pressure,,0.985714286,20.05847953
7,3.460162602,1,double_trigger,flow_pressure,,0.928571429,21.4619883
7,3.473170732,1,double_trigger,flow_pressure,,1.071428571,24.26900585
7,3.499186992,1,double_trigger,flow_pressure,,1.185714286,26.37426901
7,3.499186992,1,double_trigger,flow_pressure,,1.185714286,29.18128655
7,3.538211382,1,double_trigger,flow_pressure,,1.228571429,31.75438596
7,3.577235772,1,double_trigger,flow_pressure,,1.228571429,33.85964912
7,3.642276423,1,double_trigger,flow_pressure,,1.228571429,36.43274854
7,3.655284553,1,double_trigger,flow_pressure,,1.228571429,38.07017544
7,3.694308943,1,double_trigger,flow_pressure,,1.242857143,39.47368421
7,3.746341463,1,double_trigger,flow_pressure,,0.728571429,41.11111111
7,3.759349593,1,double_trigger,flow_pressure,,0.728571429,39.94152047
7,3.772357724,1,double_trigger,flow_pressure,,0.414285714,37.83625731
7,3.785365854,1,double_trigger,flow_pressure,,0.585714286,35.26315789
7,3.798373984,1,double_trigger,flow_pressure,,0.3,31.98830409
7,3.876422764,1,double_trigger,flow_pressure,,0.1,30.81871345
7,3.915447154,1,double_trigger,flow_pressure,,-0.014285714,29.41520468
7,3.980487805,1,double_trigger,flow_pressure,,-0.014285714,27.54385965
7,3.993495935,1,double_trigger,flow_pressure,,-0.057142857,25.67251462
7,3.993495935,1,double_trigger,flow_pressure,,-0.057142857,23.33333333
7,4.032520325,1,double_trigger,flow_pressure,,-0.242857143,20.99415205
7,4.084552846,1,double_trigger,flow_pressure,,-0.157142857,18.1871345
7,4.188617886,1,double_trigger,flow_pressure,,0.071428571,16.31578947
7,4.279674797,1,double_trigger,flow_pressure,,0.685714286,15.84795322
7,4.292682927,1,double_trigger,flow_pressure,,0.828571429,18.65497076
7,4.292682927,1,double_trigger,flow_pressure,,0.828571429,20.52631579
7,4.318699187,1,double_trigger,flow_pressure,,1.185714286,23.80116959
7,4.331707317,1,double_trigger,flow_pressure,,1.185714286,27.07602339
7,4.370731707,1,double_trigger,flow_pressure,,1.285714286,29.88304094
7,4.435772358,1,double_trigger,flow_pressure,,1.328571429,32.69005848
7,4.500813008,1,double_trigger,flow_pressure,,1.314285714,34.56140351
7,4.552845528,1,double_trigger,flow_pressure,,1.271428571,35.96491228
7,4.591869919,1,double_trigger,flow_pressure,,1.057142857,36.66666667
7,4.617886179,1,double_trigger,flow_pressure,,0.514285714,34.32748538
7,4.617886179,1,double_trigger,flow_pressure,,0.514285714,31.75438596
7,4.630894309,1,double_trigger,flow_pressure,,0.3,29.18128655
7,4.656910569,1,double_trigger,flow_pressure,,0.4,26.37426901
7,4.73495935,1,double_trigger,flow_pressure,,-0.014285714,25.20467836
7,4.76097561,1,double_trigger,flow_pressure,,0.1,23.33333333
7,4.87804878,1,double_trigger,flow_pressure,,-0.085714286,21.92982456
7,4.982113821,1,double_trigger,flow_pressure,,-0.157142857,20.52631579
7,5.060162602,1,double_trigger,flow_pressure,,-0.028571429,20.76023392
7,5.255284553,1,double_trigger,flow_pressure,,-0.357142857,22.39766082
7,5.463414634,1,double_trigger,flow_pressure,,-0.4,21.22807018
7,5.632520325,1,double_trigger,flow_pressure,,-0.371428571,20.76023392
7,5.814634146,1,double_trigger,flow_pressure,,-0.328571429,20.29239766
7,6.022764228,1,double_trigger,flow_pressure,,-0.271428571,20.05847953
7,6.230894309,1,double_trigger,flow_pressure,,-0.214285714,19.8245614
7,6.34796748,1,double_trigger,flow_pressure,,-0.214285714,19.35672515
7,6.543089431,1,double_trigger,flow_pressure,,-0.157142857,18.88888889
7,6.582113821,1,double_trigger,flow_pressure,,0.057142857,21.4619883
7,6.595121951,1,double_trigger,flow_pressure,,0.528571429,25.20467836
7,6.621138211,1,double_trigger,flow_pressure,,0.871428571,28.24561404
7,6.647154472,1,double_trigger,flow_pressure,,1.014285714,31.52046784
7,6.725203252,1,double_trigger,flow_pressure,,1.214285714,35.96491228
7,6.764227642,1,double_trigger,flow_pressure,,1.242857143,38.30409357
7,6.803252033,1,double_trigger,flow_pressure,,1.242857143,40.64327485
7,6.894308943,1,double_trigger,flow_pressure,,1.085714286,43.21637427
7,6.907317073,1,double_trigger,flow_pressure,,1.085714286,41.11111111
7,6.933333333,1,double_trigger,flow_pressure,,0.7,38.30409357
7,6.959349593,1,double_trigger,flow_pressure,,0.214285714,34.56140351
7,7.011382114,1,double_trigger,flow_pressure,,0.071428571,33.15789474
7,7.076422764,1,double_trigger,flow_pressure,,-0.042857143,31.75438596
7,7.141463415,1,double_trigger,flow_pressure,,-0.028571429,31.75438596
7,7.167479675,1,double_trigger,flow_pressure,,-0.028571429,27.77777778
7,7.167479675,1,double_trigger,flow_pressure,,-0.028571429,24.73684211
7,7.180487805,1,double_trigger,flow_pressure,,-0.028571429,22.86549708
7,7.271544715,1,double_trigger,flow_pressure,,-0.757142857,21.69590643
7,7.440650407,1,double_trigger,flow_pressure,,-0.542857143,20.52631579
7,7.583739837,1,double_trigger,flow_pressure,,-0.414285714,19.35672515
7,7.765853659,1,double_trigger,flow_pressure,,-0.328571429,18.88888889
7,7.94796748,1,double_trigger,flow_pressure,,-0.228571429,18.1871345
7,0.06504065,1,double_trigger,flow_pressure,,-0.185714286,18.1871345
7,0.221138211,1,double_trigger,flow_pressure,,-0.1,17.25146199
7,0.403252033,1,double_trigger,flow_pressure,,-0.071428571,16.78362573
7,0.637398374,1,double_trigger,flow_pressure,,-0.028571429,16.31578947
7,0.871544715,1,double_trigger,flow_pressure,,-0.014285714,16.31578947
7,1.027642276,1,double_trigger,flow_pressure,,-0.014285714,16.31578947
7,1.118699187,1,double_trigger,flow_pressure,,0.957142857,16.31578947
7,1.131707317,1,double_trigger,flow_pressure,,0.957142857,17.95321637
7,1.144715447,1,double_trigger,flow_pressure,,1.185714286,21.22807018
7,1.170731707,1,double_trigger,flow_pressure,,1.185714286,24.26900585
7,1.170731707,1,double_trigger,flow_pressure,,1.185714286,27.77777778
7,1.196747967,1,double_trigger,flow_pressure,,1.185714286,29.64912281
